,int64_field_0,Agence_Facturation,Region_Facturation,Materiel,Statut,Libelle_Statut_Materiel,Nature_equipement,Modele,Marque,Date_Mise_en_Service,Derniere_Loc,Age_Mois,Age_Reforme_Mois,Tx_Maturite_Materiel,CA,Annee_RefT,Nb_Jours_Fac,Nb_Jours_VLG,Valeur_Locative_Th_TR_IndM,Prix_Reference_Monnaie_locale,Pay_Back_Prix_Reference,Date_Fin_Vie,Cat_Classe_Designation_Num
15673,15673,348,67,136184,A,DISPONIBLE,EQP,SJIII3220,SKYJACK,17/07/2013,15/02/2023,112,112,1,4740,2018,123,248,19152.0,9900,18,,2.0
15674,15674,348,67,136184,A,DISPONIBLE,EQP,SJIII3220,SKYJACK,17/07/2013,15/02/2023,112,112,1,"3368,5",2019,97,242,19076.0,9900,25,,2.0
15675,15675,348,67,136184,A,DISPONIBLE,EQP,SJIII3220,SKYJACK,17/07/2013,15/02/2023,112,112,1,"1423,78",2020,57,102,19304.0,9900,25,,2.0
15676,15676,348,67,136184,A,DISPONIBLE,EQP,SJIII3220,SKYJACK,17/07/2013,15/02/2023,112,112,1,"1603,75",2021,53,118,19380.0,9900,26,,2.0
15677,15677,348,67,136184,A,DISPONIBLE,EQP,SJIII3220,SKYJACK,17/07/2013,15/02/2023,112,112,1,"7471,89",2022,196,254,19304.0,9900,12,,2.0
15678,15678,348,67,137674,A,DISPONIBLE,EQP,E25,BOBCAT,01/11/2018,02/03/2023,109,97,"1,12","533,8",2022,5,49,0.0,23700,82,,3.0
15679,15679,348,67,137702,A,DISPONIBLE,EQP,ECR88D,VOLVO,31/10/2018,02/07/2023,111,90,"1,23",0,2018,0,1,0.0,55000,0,,3.0
15680,15680,348,67,144491,U,RETOUR PLANIFIE,EQP,E80,BOBCAT,01/11/2018,20/01/2023,109,90,"1,21",0,2020,0,2,0.0,55000,0,,3.0
15681,15681,348,67,146299,O,EN LOCATION,EQP,450AJ,JLG,30/01/2019,14/02/2023,109,117,"0,93",1035,2019,12,14,0.0,38000,23,,2.0
15682,15682,348,67,146515,U,RETOUR PLANIFIE,EQP,Z-45/25RTJ,GENIE,05/11/2013,15/02/2023,109,117,"0,93",220,2020,2,4,0.0,38000,32,,2.0
15683,15683,348,67,146515,U,RETOUR PLANIFIE,EQP,Z-45/25RTJ,GENIE,05/11/2013,15/02/2023,109,117,"0,93",160,2021,2,2,0.0,38000,22,,2.0
15684,15684,348,67,146529,O,EN LOCATION,EQP,P40.17,MERLO,11/03/2019,13/02/2023,108,111,"0,97",300,2019,3,4,0.0,61000,37,,1.0
15685,15685,348,67,146529,O,EN LOCATION,EQP,P40.17,MERLO,11/03/2019,13/02/2023,108,111,"0,97",230,2020,2,3,0.0,61000,36,,1.0
15686,15686,348,67,146531,A,DISPONIBLE,ACC,800L/P40.17,MERLO,11/03/2019,12/09/2022,108,83,"1,3",0,2020,0,3,0.0,1500,0,,1.0
