int64_field_0,Agence_Gerante,Region_Proprietaire,Materiel,Statut,Libelle_Statut_Materiel,Cat_Classe_Designation,Nature_equipement,Modele,Marque,Date_Mise_en_Service,Derniere_Loc,Ann__e_Construction_Mat,Age_Mois,Age_Reforme_Mois,Tx_Maturite_Materiel,Valeur_Locative_Th_TR_IndM,CA,Annee_RefT,Nb_Jours_Fac,Nb_Jours_VLG,Valeur_nette_comptable,Prix_Reference_Monnaie_locale,Pay_Back_Prix_Reference
100,1953,59,Mat - 100506,N,PANNE COURT TERME,057-0007 - MINIPELLE 5T À 6T,EQP,E50,BOBCAT,30/06/2017,02/07/2023,2012,123,97,"1,27",80010,"16856,34",2022,165,254,0,36500,26
101,7356,68,Mat - 100515,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,2500L,MANITOU,12/12/2012,14/09/2022,2012,120,83,"1,44",1764,0,2018,82,252,0,1500,0
102,7356,68,Mat - 100515,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,2500L,MANITOU,12/12/2012,14/09/2022,2012,120,83,"1,44",1757,0,2019,0,251,0,1500,0
103,7356,68,Mat - 100515,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,2500L,MANITOU,12/12/2012,14/09/2022,2012,120,83,"1,44",1778,0,2020,0,239,0,1500,0
104,7356,68,Mat - 100515,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,2500L,MANITOU,12/12/2012,14/09/2022,2012,120,83,"1,44",1785,0,2021,0,255,0,1500,0
105,7356,68,Mat - 100515,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,2500L,MANITOU,12/12/2012,14/09/2022,2012,120,83,"1,44",1778,0,2022,1,241,0,1500,0
106,1276,67,Mat - 100517,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,CBA3000LDR,MANITOU,19/06/2012,22/12/2022,2012,125,83,"1,51",1764,0,2018,246,252,0,1500,0
107,1276,67,Mat - 100517,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,CBA3000LDR,MANITOU,19/06/2012,22/12/2022,2012,125,83,"1,51",1757,0,2019,214,251,0,1500,0
108,1276,67,Mat - 100517,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,CBA3000LDR,MANITOU,19/06/2012,22/12/2022,2012,125,83,"1,51",1778,0,2020,5,254,0,1500,0
109,1276,67,Mat - 100517,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,CBA3000LDR,MANITOU,19/06/2012,22/12/2022,2012,125,83,"1,51",1785,0,2021,0,255,0,1500,0
