int64_field_0,Agence_Facturation,Region_Facturation,Materiel,Statut,Libelle_Statut_Materiel,Cat_Classe_Designation,Nature_equipement,Modele,Marque,Date_Mise_en_Service,Derniere_Loc,Age_Mois,Age_Reforme_Mois,Tx_Maturite_Materiel,CA,Annee_RefT,Nb_Jours_Fac,Nb_Jours_VLG,Valeur_Locative_Th_TR_IndM,Prix_Reference_Monnaie_locale,Pay_Back_Prix_Reference,Date_Fin_Vie
3938,223,51,H360F022,O,EN LOCATION,057-0007 - MINIPELLE 5T À 6T,EQP,E50,BOBCAT,01/06/2020,02/02/2023,114,97,"1,18",0,2018,0,2,0,36500,0,
3939,223,51,H509E012,U,RETOUR PLANIFIE,057-0008 - MINIPELLE 7.5T À 8.5T,EQP,E80,BOBCAT,01/08/2012,13/02/2023,124,90,"1,38",0,2019,1,2,0,55000,0,
3940,223,51,H511H001,A,DISPONIBLE,057-0020 - PELLE SUR PNEUS 10T,EQP,EW100-T4,NEUSON,01/08/2015,09/09/2022,88,90,"0,98",30566,2018,172,251,100800,95000,35,09/09/2022
3941,223,51,H511H001,A,DISPONIBLE,057-0020 - PELLE SUR PNEUS 10T,EQP,EW100-T4,NEUSON,01/08/2015,09/09/2022,88,90,"0,98",20103,2019,100,204,81600,95000,43,09/09/2022
3942,223,51,K820H010,U,RETOUR PLANIFIE,052-0027 - CHARIOT TELESC. 7M,EQP,531-70WMT4,JCB,01/07/2015,14/02/2023,89,116,"0,77",0,2019,0,1,0,43000,0,
3943,223,51,K854E015,A,DISPONIBLE,052-0039 - CHARIOT TELESC.>= 17M,EQP,540-170,JCB,01/07/2012,02/01/2023,125,111,"1,13",0,2021,0,2,0,61000,0,
3944,223,51,K8807020,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,CBR600L,MANITOU,01/07/2007,23/12/2022,185,83,"2,23",0,2020,3,51,0,1500,0,
3945,223,51,L515H002,R,ZONE RETOUR CTRL OBLIGATOIRES,049-0007 - NACELLE 10M A MAT VERTICAL ELEC.,EQP,PIAF1000R,ATN,01/05/2015,14/02/2023,91,119,"0,76",0,2022,0,1,0,18500,0,
3946,223,51,L520K002,N,PANNE COURT TERME,049-0008 - NACELLE 12M A MAT VERTICAL ELEC.,EQP,TOUCAN12E,JLG,21/06/2016,01/12/2023,77,119,"0,65","53,5",2018,2,8,0,33000,219,
3947,223,51,LX2477,O,EN LOCATION,049-0033 - NACELLE =<12M ELECTRIQUE,EQP,HA12CJ+,HAULOTTE,28/02/2019,13/02/2023,45,119,"0,38",0,2021,0,1,0,29000,0,
3948,224,51,100184,A,DISPONIBLE,"052-0025 - CHARIOT FRONTAL 5.4M-2,5T DIESEL",EQP,926-4RM,JCB,12/09/2012,14/02/2023,123,139,"0,88","4362,05",2018,56,239,32256,38000,87,
3949,224,51,100184,A,DISPONIBLE,"052-0025 - CHARIOT FRONTAL 5.4M-2,5T DIESEL",EQP,926-4RM,JCB,12/09/2012,14/02/2023,123,139,"0,88","8203,1",2019,113,241,32128,38000,50,
3950,224,51,100184,A,DISPONIBLE,"052-0025 - CHARIOT FRONTAL 5.4M-2,5T DIESEL",EQP,926-4RM,JCB,12/09/2012,14/02/2023,123,139,"0,88","4445,8",2020,48,254,32512,38000,91,
3951,224,51,100184,A,DISPONIBLE,"052-0025 - CHARIOT FRONTAL 5.4M-2,5T DIESEL",EQP,926-4RM,JCB,12/09/2012,14/02/2023,123,139,"0,88","6793,4",2021,73,252,32640,38000,59,
3952,224,51,100184,A,DISPONIBLE,"052-0025 - CHARIOT FRONTAL 5.4M-2,5T DIESEL",EQP,926-4RM,JCB,12/09/2012,14/02/2023,123,139,"0,88","5785,36",2022,63,254,32512,38000,70,
3953,224,51,100906,T,VOLE,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,8025 ZTS,JCB,10/01/2013,07/10/2019,73,97,"0,75","10902,65",2018,122,252,46620,23700,112,01/03/2019
3954,224,51,100906,T,VOLE,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,8025 ZTS,JCB,10/01/2013,07/10/2019,73,97,"0,75","2016,6",2019,23,42,7770,23700,101,01/03/2019
3955,224,51,101198,O,EN LOCATION,057-0007 - MINIPELLE 5T À 6T,EQP,VIO50VCR,YANMAR,05/09/2012,02/09/2023,123,97,"1,27","339,66",2020,3,1,0,36500,5,
3956,224,51,104773,O,EN LOCATION,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO25,YANMAR,19/10/2012,02/03/2023,121,97,"1,25","12435,01",2018,144,252,46620,23700,23,
3957,224,51,104773,O,EN LOCATION,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO25,YANMAR,19/10/2012,02/03/2023,121,97,"1,25","13574,29",2019,143,251,46435,23700,21,
3958,224,51,104773,O,EN LOCATION,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO25,YANMAR,19/10/2012,02/03/2023,121,97,"1,25","7936,23",2020,91,254,46990,23700,36,
3959,224,51,104773,O,EN LOCATION,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO25,YANMAR,19/10/2012,02/03/2023,121,97,"1,25","9988,78",2021,132,255,47175,23700,29,
3960,224,51,104773,O,EN LOCATION,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO25,YANMAR,19/10/2012,02/03/2023,121,97,"1,25","9804,22",2022,128,254,46990,23700,29,
3961,224,51,106743,S,VENDU,057-0004 - MINIPELLE 2.3T A 2.8T,EQP,VIO25,YANMAR,04/01/2013,24/06/2022,118,97,"1,22",0,2021,0,2,0,23700,0,18/05/2022
3962,224,51,107334,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,31/01/2023,120,111,"1,08",2852,2020,31,26,0,52000,21,
3963,224,51,107335,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,31/01/2023,120,111,"1,08",14714,2018,157,252,63000,52000,41,
3964,224,51,107335,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,31/01/2023,120,111,"1,08","15349,61",2019,163,249,62750,52000,39,
3965,224,51,107335,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,31/01/2023,120,111,"1,08","12931,64",2020,125,254,63500,52000,48,
3966,224,51,107335,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,31/01/2023,120,111,"1,08","16250,6",2021,176,255,63750,52000,38,
3967,224,51,107335,O,EN LOCATION,052-0033 - CHARIOT TELESC. 12M,EQP,535-125HVB,JCB,01/01/2018,31/01/2023,120,111,"1,08","14785,76",2022,137,254,63500,52000,42,
3968,224,51,107339,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,26/11/2012,11/08/2022,120,83,"1,45","7,49",2018,1,3,1764,1500,22,
3969,224,51,107339,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,26/11/2012,11/08/2022,120,83,"1,45",0,2019,101,251,1757,1500,0,
3970,224,51,107339,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,26/11/2012,11/08/2022,120,83,"1,45","81,83",2020,17,254,1778,1500,168,
3971,224,51,107339,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,26/11/2012,11/08/2022,120,83,"1,45","16,38",2021,60,255,1785,1500,840,
3972,224,51,107339,A,DISPONIBLE,052-0090 - BENNE DE REPRISE POUR CHARIOT,ACC,1000L980/A5063,JCB,26/11/2012,11/08/2022,120,83,"1,45","318,8",2022,58,254,1778,1500,43,
3973,224,51,107509,O,EN LOCATION,049-0041 - NACELLE 16M ARTICULEE DIESEL,EQP,HA16SPX,HAULOTTE,02/01/2018,02/10/2023,120,117,"1,03",213,2020,2,4,0,38000,33,
